CruiseName,Station,YEAR,Depth,Temp,Sal,SigmaT,Delta-D
AC109,726,1970.95483,0,4.91,30.623,24.216,0
AC109,726,1970.95483,10,5.01,30.67,24.243,0.037083
AC109,726,1970.95483,20,5.15,30.699,24.251,0.074006
AC109,726,1970.95483,30,5.16,30.745,24.287,0.110729
AC109,726,1970.95483,50,5.17,30.757,24.295,0.183778
AC109,726,1970.95483,75,5.3,30.93,24.418,0.273567
AC109,726,1970.95483,100,5.5,31.073,24.509,0.360865
AC109,726,1970.95483,150,6.23,31.663,24.889,0.524489
AC109,726,1970.95483,200,6.45,32.359,25.41,0.66703
AC109,726,1970.95483,250,5.58,33.139,26.133,0.780281
AC111,3738,1971.2074,0,1.99,31.706,25.334,0
AC111,3738,1971.2074,10,1.88,31.703,25.339,0.02654
AC111,3738,1971.2074,20,1.89,31.719,25.351,0.052997
AC111,3738,1971.2074,30,1.9,31.722,25.353,0.079389
AC111,3738,1971.2074,50,1.98,31.737,25.36,0.132097
AC111,3738,1971.2074,75,1.99,31.745,25.365,0.197839
AC111,3738,1971.2074,100,2.05,31.776,25.386,0.263274
AC111,3738,1971.2074,150,2.08,31.798,25.401,0.393304
AC111,3738,1971.2074,200,2.18,31.95,25.516,0.520289
AC116,1,1971.54761,0,12.16,24.672,18.556,0
AC116,1,1971.54761,10,10.8,30.378,23.213,0.069129
AC116,1,1971.54761,20,9.11,30.534,23.607,0.114052
AC116,1,1971.54761,30,8.98,31.078,24.052,0.154986
AC116,1,1971.54761,50,6.36,31.357,24.632,0.227106
AC116,1,1971.54761,75,5.11,31.883,25.193,0.303689
AC116,1,1971.54761,100,4.19,32.133,25.487,0.370106
AC116,1,1971.54761,150,4.93,32.576,25.762,0.48959
AC116,1,1971.54761,200,4.58,32.722,25.915,0.599152
AC120,1,1971.70142,0,10.65,25.345,19.326,0
AC120,1,1971.70142,10,10.9,27.025,20.591,0.077977
AC120,1,1971.70142,20,10.94,28.43,21.676,0.144689
AC120,1,1971.70142,30,10.91,29.999,22.9,0.200359
AC120,1,1971.70142,50,9.8,31.121,23.957,0.289939
AC120,1,1971.70142,75,6.81,31.752,24.886,0.378278
AC120,1,1971.70142,100,5.53,32.03,25.262,0.451095
AC120,1,1971.70142,150,5.02,32.415,25.624,0.57928
AC120,1,1971.70142,200,4.92,33.032,26.124,0.687201
AC120,1,1971.70142,250,4.93,33.117,26.191,0.781932
AC124,1,1971.81799,0,7.15,29.028,22.7,0
AC124,1,1971.81799,10,7.49,29.285,22.858,0.050936
AC124,1,1971.81799,20,7.67,29.358,22.891,0.100967
AC124,1,1971.81799,30,8.48,29.909,23.211,0.149323
AC124,1,1971.81799,50,9.1,31.006,23.977,0.235721
AC124,1,1971.81799,75,9.02,31.866,24.662,0.326518
AC124,1,1971.81799,100,8.15,31.993,24.892,0.406511
AC124,1,1971.81799,150,5.5,32.385,25.546,0.545525
AC124,1,1971.81799,200,5.05,32.799,25.925,0.660065
AC130,1,1972.25867,0,1.77,32.003,25.587,0
AC130,1,1972.25867,10,1.76,31.996,25.582,0.024181
AC130,1,1972.25867,20,1.76,31.995,25.581,0.048389
AC130,1,1972.25867,30,1.77,32,25.585,0.072586
AC130,1,1972.25867,50,1.73,31.999,25.587,0.120929
AC130,1,1972.25867,75,1.77,32.032,25.611,0.181055
AC130,1,1972.25867,100,1.84,32.129,25.683,0.240038
AC130,1,1972.25867,150,2.23,32.368,25.846,0.352464
AC130,1,1972.25867,200,2.63,32.463,25.891,0.460091
AC130,1,1972.25867,250,3.16,32.599,25.955,0.565348
AC135,1,1972.43164,0,6.1,31.342,24.652,0
AC135,1,1972.43164,10,4.95,31.537,24.936,0.03171
AC135,1,1972.43164,20,4.71,31.757,25.136,0.06112
AC135,1,1972.43164,30,4.7,31.812,25.181,0.089375
AC135,1,1972.43164,50,4.2,31.972,25.359,0.143782
AC135,1,1972.43164,75,3.79,32.053,25.463,0.20846
AC135,1,1972.43164,100,3.68,32.096,25.507,0.271396
AC135,1,1972.43164,150,2.19,32.193,25.709,0.391365
AC135,1,1972.43164,200,2.98,32.527,25.913,0.501761
AC135,1,1972.43164,250,3.44,32.701,26.011,0.605263
AC144,1,1972.8147,0,7.61,28.593,22.299,0
AC144,1,1972.8147,10,7.61,28.59,22.297,0.055536
AC144,1,1972.8147,20,7.62,28.596,22.3,0.111075
AC144,1,1972.8147,30,7.73,28.853,22.487,0.165713
AC144,1,1972.8147,50,8.54,30.628,23.765,0.261037
AC144,1,1972.8147,75,7.86,31.574,24.604,0.355019
AC144,1,1972.8147,100,6.37,31.962,25.108,0.433064
AC144,1,1972.8147,150,4.41,32.599,25.835,0.559907
AC144,1,1972.8147,200,4.54,32.932,26.086,0.663631
AC144,1,1972.8147,250,4.73,33.151,26.239,0.758035
AC176,12,1973.68188,0,11.005,25.911,19.763,0
AC176,12,1973.68188,10,10.868,29.309,22.419,0.067891
AC176,12,1973.68188,20,10.69,29.827,22.851,0.119995
AC176,12,1973.68188,30,10.612,30.447,23.345,0.168319
AC176,12,1973.68188,50,10.38,31.083,23.878,0.254723
AC176,12,1973.68188,75,6.393,31.464,24.757,0.343667
AC176,12,1973.68188,100,5.752,31.834,25.125,0.418158
AC176,12,1973.68188,150,4.762,32.602,25.842,0.545261
AC176,12,1973.68188,200,5.054,33.076,26.186,0.643903
AC176,12,1973.68188,250,5.026,33.211,26.296,0.735371
AC177,1,1973.69153,0,10.45,23.845,18.192,0
AC177,1,1973.69153,10,11.15,29.509,22.478,0.0744
AC177,1,1973.69153,20,10.48,30.587,23.43,0.123683
AC177,1,1973.69153,30,10.07,31.189,23.967,0.165874
AC177,1,1973.69153,50,10.1,31.499,24.204,0.242931
AC177,1,1973.69153,75,8.9,31.671,24.528,0.332642
AC177,1,1973.69153,100,6.64,31.843,24.98,0.413142
AC177,1,1973.69153,150,5.12,32.281,25.507,0.550881
AC177,1,1973.69153,200,4.97,32.912,26.024,0.663978
AC177,1,1973.69153,250,5.02,33.213,26.257,0.759551
AC180,2,1973.77209,0,8.34,26.746,20.755,0
AC180,2,1973.77209,10,8.38,26.755,20.757,0.070311
AC180,2,1973.77209,20,9.38,28.442,21.932,0.134992
AC180,2,1973.77209,30,9.53,29.023,22.363,0.191994
AC180,2,1973.77209,50,9.19,30.901,23.882,0.287417
AC180,2,1973.77209,75,8.11,31.774,24.726,0.378585
AC180,2,1973.77209,100,5.76,32.312,25.458,0.451016
AC180,2,1973.77209,150,5.06,32.76,25.893,0.568195
AC180,2,1973.77209,200,5.02,33.229,26.269,0.666335
AC180,2,1973.77209,250,5,33.322,26.345,0.754008
AC183,40,1973.95312,0,4.8,31.03,24.55,0
AC183,40,1973.95312,10,4.82,31.035,24.552,0.03402
AC183,40,1973.95312,20,4.83,31.036,24.552,0.068038
AC183,40,1973.95312,30,4.83,31.039,24.554,0.102052
AC183,40,1973.95312,50,4.9,31.058,24.562,0.170003
AC183,40,1973.95312,75,5.69,31.382,24.731,0.252891
AC183,40,1973.95312,100,5.95,31.718,24.966,0.331048
AC183,40,1973.95312,150,6.15,32.139,25.274,0.474673
AC183,40,1973.95312,200,5.45,33.127,26.139,0.590699
AC183,40,1973.95312,250,5.4,33.245,26.238,0.684082
AC186,3,1974.23767,0,2.909,31.593,25.213,0
AC186,3,1974.23767,10,2.816,31.697,25.303,0.027273
AC186,3,1974.23767,20,2.815,31.736,25.334,0.053947
AC186,3,1974.23767,30,2.754,31.755,25.355,0.080466
AC186,3,1974.23767,50,2.7,31.792,25.388,0.1329
AC186,3,1974.23767,75,2.582,31.825,25.424,0.197507
AC186,3,1974.23767,100,2.71,31.931,25.498,0.263611
AC186,3,1974.23767,150,3.269,32.115,25.599,0.386839
AC186,3,1974.23767,200,4.034,32.464,25.807,0.514924
AC186,3,1974.23767,250,4.673,32.872,26.065,0.620302
AC186,36,1974.27747,0,3.37,31.692,25.254,0
AC186,36,1974.27747,10,3.117,31.755,25.326,0.02716
AC186,36,1974.27747,20,2.97,31.856,25.418,0.053352
AC186,36,1974.27747,30,3.007,31.948,25.488,0.078747
AC186,36,1974.27747,50,2.96,31.973,25.512,0.128801
AC186,36,1974.27747,75,3.186,32.038,25.544,0.190622
AC186,36,1974.27747,100,3.182,32.088,25.585,0.251638
AC186,36,1974.27747,150,3.112,32.119,25.615,0.371986
AC186,36,1974.27747,200,3.961,32.489,25.833,0.48726
AC186,36,1974.27747,250,4.626,32.897,26.09,0.588973
AC187,7,1974.30225,0,3.314,31.424,25.045,0
AC187,7,1974.30225,10,3.32,31.531,25.13,0.029082
AC187,7,1974.30225,20,3.349,31.687,25.251,0.056905
AC187,7,1974.30225,30,3.342,31.752,25.304,0.083974
AC187,7,1974.30225,50,3.333,31.795,25.339,0.137212
AC187,7,1974.30225,75,3.256,31.88,25.413,0.202687
AC187,7,1974.30225,100,2.909,31.9,25.458,0.267252
AC187,7,1974.30225,150,2.986,32.139,25.642,0.381307
AC190,70,1974.4397,0,11.139,25.432,19.37,0
AC190,70,1974.4397,10,7.837,31.283,24.425,0.04163
AC190,70,1974.4397,20,7.693,31.761,24.819,0.074418
AC190,70,1974.4397,30,5.786,31.611,24.945,0.106045
AC190,70,1974.4397,50,4.428,31.793,25.235,0.163744
AC190,70,1974.4397,75,3.786,31.96,25.429,0.231392
AC190,70,1974.4397,100,4.364,32.116,25.498,0.294629
