"YEAR","WTCPUE","NUMCPUE","BOT_DEPTH","BOT_TEMP","SURF_TEMP"
"1983",35653.7289,48260.1327,202.297674418605,4.72837209302326,7.32139534883721
"1986",19056.0188,23369.4075,210.743119266055,4.32018348623853,6.70917431192661
"1991",2017.6792,1874.1896,200.5,4.53333333333333,7.56944444444444
"1994",10208.8553,12851.6396,193.594142259414,4.15732217573222,6.09581589958159
"1997",14752.7037,13387.0994,204.297413793103,4.50172413793103,6.81724137931035
"2000",15563.1107,13517.4784,206.248,3.9136,5.5444
"2002",38629.1633,36023.5487,191.575757575758,4.09924242424242,5.73295454545455
"2004",22763.3072,19876.4364,200.540084388186,4.29789029535865,6.7506329113924
"2006",8888.0915,6382.1459,202.327272727273,4.22363636363636,6.14136363636364
"2010",26862.2869,20160.1871,181.319444444444,4.2712962962963,6.28611111111111
"2012",6274.1,5088.6172,185.412878787879,3.92424242424242,5.84734848484849
