"YEAR","WTCPUE","NUMCPUE","BOT_DEPTH","BOT_TEMP","SURF_TEMP"
1982,7019.2624,4123.8973,80.2585669781931,2.29096573208723,5.54299065420561
1983,8990.2647,5825.5703,81.7456647398844,2.94768786127168,8.59624277456647
1984,7441.3639,5085.448,81.9756838905775,2.35531914893617,7.20790273556231
1985,7067.7159,5612.346,84.8811881188119,2.29372937293729,6.92805280528053
1986,8324.9675,6604.0434,82.6420118343195,1.82603550295858,5.71005917159763
1987,5960.9182,3924.8693,81.8174904942966,3.14904942965779,6.88821292775665
1988,7202.229,3906.3789,82.9029411764706,2.23382352941176,6.68382352941176
1989,5952.2989,2238.1392,85.6453674121406,2.81022364217252,6.99904153354633
1990,4622.9972,2422.7396,85.336917562724,2.19569892473118,7.4
1991,3624.1004,3543.7746,81.3321799307958,2.48650519031142,7.84948096885813
1992,3354.4077,3248.0583,85.4315789473684,1.71052631578947,7.02912280701754
1993,4711.5499,5834.0743,81.4551083591331,2.89133126934985,7.1405572755418
1994,9062.932,8912.7814,80.193661971831,1.63204225352113,5.54471830985915
1995,7675.5557,6041.63,81.239263803681,1.73312883435583,6.06993865030675
1996,6927.1844,4686.0701,81.3735632183908,3.26379310344828,6.69051724137931
1997,4515.493,3586.2998,80.0687679083095,2.62005730659026,7.810888252149
1998,3838.1909,3848.9343,80.0648967551622,3.08938053097345,7.51917404129794
1999,4546.467,4075.6177,81.7563291139241,0.70253164556962,3.95348101265823
2000,3918.946,3581.9415,81.655487804878,2.06371951219512,6.3219512195122
2001,6131.6084,7386.857,80.1862464183381,2.4512893982808,5.81776504297994
2002,4225.487,4086.3479,78.96875,3.07727272727273,6.90653409090909
2003,4759.5093,3904.9635,81.877094972067,3.6463687150838,7.86340782122905
2004,4741.1463,3352.8852,80.8785310734463,3.22005649717514,8.38728813559322
2005,4732.7014,3435.1039,81.3690476190476,3.24583333333333,7.39880952380952
2006,4325.2546,3360.7559,80.7048710601719,1.77736389684814,5.63123209169054
2007,3660.8305,5896.618,80.9727520435967,1.54822888283379,6.42070844686649
2008,3420.8598,3919.666,81.1407624633431,1.24721407624633,4.17947214076246
2009,3526.7525,5904.8034,81.2486187845304,1.2060773480663,4.69226519337017
2010,7138.4475,7733.9978,82.4431486880466,1.45539358600583,5.29650145772595
2011,7232.051,6817.8995,80.8861788617886,2.32032520325203,4.98970189701897
2012,6866.3629,7656.7906,81.2140845070423,0.92169014084507,4.95549295774648
