"YEAR","WTCPUE","NUMCPUE","BOT_DEPTH","BOT_TEMP","SURF_TEMP"
"1984",3582.5865,11613.2006,146.892561983471,5.7900826446281,11.450826446281
"1987",2416.2436,7438.313,154.371584699454,6.08306010928962,10.6830601092896
"1990",1127.793,3458.4596,168.17037037037,5.69185185185185,13.0311111111111
"1993",4825.0461,16457.3322,149.809411764706,5.66964705882353,11.2931764705882
"1996",4940.1823,16057.2853,143.710455764075,5.42922252010724,9.09758713136729
"1999",4557.4907,14195.4807,142.62467191601,4.82073490813648,7.55380577427822
"2001",3546.3799,10992.761,140.762114537445,5.68017621145374,9.1625550660793
"2003",8441.3537,25258.8884,132.323255813953,6.07418604651163,9.61813953488372
"2005",6530.8961,22442.122,131.366336633663,5.74876237623762,10.2242574257426
"2007",8043.9721,24022.4937,131.675324675325,4.63662337662338,8.65636363636364
"2009",6496.2399,21346.8645,126.904017857143,4.71674107142857,8.33705357142857
"2011",5804.7271,18676.5659,130.193633952255,5.20106100795756,8.78249336870027
"2013",4147.8854,12564.8068,129.03355704698,5.21107382550336,9.35201342281879
