Year,gender,14,16,18,20,22,24,26,28,30,32,34,36,38,40
1984,2,567,"3,098","3,337","7,306","14,170","20,489","29,800","45,645","63,475","76,302","69,592","48,288","28,087","17,406"
1987,2,883,"2,085","2,838","4,499","6,056","12,189","17,593","25,161","36,188","50,279","54,302","45,327","26,573","14,468"
1990,2,"1,269","3,347","6,036","6,002","9,283","15,446","19,887","24,583","37,464","46,874","55,347","60,532","52,045","30,967"
1993,2,"2,584","5,010","7,744","12,730","13,216","15,423","20,372","21,820","25,208","31,170","41,270","43,396","36,634","23,356"
1996,2,"3,360","6,318","10,043","14,294","16,104","19,497","21,345","25,059","29,741","34,375","37,894","40,168","33,867","23,395"
1999,2,"2,895","2,940","5,795","8,718","10,041","16,134","18,845","21,287","25,158","28,741","31,886","35,669","31,739","27,829"
2001,2,"2,777","4,699","5,728","8,070","9,822","7,348","9,242","12,441","17,973","20,460","29,033","26,925","24,106","18,520"
2003,2,"3,066","6,647","10,771","15,271","20,514","25,006","23,932","24,520","28,685","35,373","46,891","47,205","42,591","35,524"
2005,2,"4,988","7,391","10,305","14,894","20,011","22,229","27,086","30,483","33,432","38,116","37,285","35,590","34,358","24,141"
2007,2,"2,429","6,105","10,258","20,784","19,669","18,962","23,767","25,095","35,366","40,488","50,423","51,276","44,433","33,155"
2009,2,"4,488","3,880","7,286","10,748","14,502","16,873","24,109","28,080","35,058","28,175","38,788","43,340","39,670","24,950"
1984,1,958,"2,651","3,872","10,794","19,758","34,522","54,303","81,720","76,269","40,785","19,368","10,317","5,446","1,990"
1987,1,"1,257","2,623","3,876","5,448","6,445","15,112","26,507","48,973","53,591","33,389","14,119","7,290","3,550","1,731"
1990,1,"1,061","4,055","5,883","8,099","11,657","19,990","29,710","45,839","65,958","73,288","42,626","12,664","3,977",850
1993,1,"2,205","5,315","9,757","12,897","16,987","23,213","29,095","39,372","50,735","54,631","36,488","12,636","5,513","2,599"
1996,1,"4,039","6,250","9,608","14,129","18,421","22,021","27,807","37,472","49,772","52,356","41,352","17,459","5,026","1,607"
1999,1,"2,484","4,313","7,246","11,893","17,227","21,067","30,364","42,405","59,243","60,992","49,672","24,469","7,967","1,647"
2001,1,"2,519","5,015","7,128","8,810","10,981","13,831","17,031","27,453","37,617","39,651","36,558","19,205","6,125","2,013"
2003,1,"4,634","6,574","11,065","17,329","24,994","31,230","36,233","41,029","54,997","57,972","53,126","33,017","14,061","4,857"
2005,1,"4,727","7,283","12,201","15,830","23,301","33,863","45,026","49,439","52,297","49,895","37,689","24,343","9,653","2,244"
2007,1,"4,193","6,756","13,904","23,942","25,572","25,987","33,840","43,611","53,832","57,060","48,576","34,409","14,457","5,924"
2009,1,"3,558","4,350","8,914","16,447","23,573","31,578","41,192","46,564","52,118","56,359","47,310","28,938","11,366","3,234"
