YEAR,5,12,15,18,21,24,27,30,33,36,39,42,45,50,55,60,65,70,75,80,85,90,95,100,105
1984,516,10,9,28,59,153,425,462,599,559,990,1145,2466,3643,2880,1661,788,358,281,237,97,34,11,2,0
1987,130,23,37,133,137,110,130,536,1127,1650,1820,1253,1717,3305,2943,2194,1297,558,309,96,57,14,7,6,1
1990,151,1,6,37,80,54,78,120,233,288,432,573,1718,1894,2015,1706,976,555,245,143,74,36,14,6,2
1993,43,19,282,341,213,260,192,263,448,516,806,1282,2011,2554,3100,2119,1487,675,321,110,60,22,16,11,3
1996,2,15,97,360,480,363,292,110,234,381,558,556,888,1257,1672,2010,1686,666,339,104,50,36,19,9,8
1999,2,29,117,262,284,166,70,134,294,333,381,551,1037,1079,1369,1141,747,374,178,55,27,7,5,7,1
2001,6,63,116,213,259,356,226,183,180,306,447,428,736,740,714,751,525,284,145,51,18,15,6,4,1
2003,1,5,28,76,136,86,66,65,160,296,496,753,1281,1319,1624,1309,700,354,208,112,36,15,4,0,0
2005,9,9,94,162,172,101,70,103,190,244,205,219,426,856,1541,1272,489,221,101,73,46,89,89,57,6
2007,2,29,467,793,371,192,282,235,283,498,732,855,1021,675,835,808,528,261,156,37,12,8,8,3,5
2009,16,646,683,74,65,33,167,351,712,1145,1147,1074,1885,2571,3124,2181,1024,421,186,55,17,28,3,4,1
