YEAR,depth,temperature,Quarter
1977,116.7272727,5.344901515,1
1978,143.1814007,5.751641791,1
1979,196.8082192,4.921584124,1
1980,176.4753142,5.823375224,1
1981,99.90695725,5.579706622,1
1982,148.3638516,5.126156275,1
1983,111.0322314,5.792644628,1
1984,108.8824572,5.510478441,1
1985,77.92632682,4.709430866,1
1986,118.8316406,4.633941406,1
1987,145.4149238,4.822282468,1
1988,106.7224278,6.87442265,1
1989,82.05982231,7.190723001,1
1990,190.4795902,7.37014011,1
1991,189.4704028,6.398289236,1
1992,84.96554694,6.685594961,1
1993,116.997766,6.116317425,1
1994,97.19345742,5.305010716,1
1995,88.49747526,6.376085437,1
1996,107.0113013,5.273556668,1
1997,97.66233255,5.560937549,1
1998,87.47558611,6.810912551,1
1999,91.90504125,6.124746068,1
2000,88.99297156,6.462119794,1
2001,85.51455461,6.068615233,1
2002,90.04257642,6.913991703,1
2003,102.3826691,6.156568562,1
2004,110.5429222,6.727757884,1
2005,77.06776913,6.565149578,1
2006,135.1251079,6.879343529,1
2007,142.2847868,7.571025449,1
2008,177.8164699,7.12535385,1
2009,166.2826545,6.652431355,1
2010,179.7056419,6.480900245,1
2011,115.3484004,5.724626064,1
2012,138.3781923,6.589467244,1
2013,133.9077525,5.898991718,1
2014,146.1775108,6.56632827,1
