"YEAR","depth","temperature"
1977,105.08793686584,12.5425028184893
1978,122.41796875,13.07197265625
1979,64.9665835411471,14.0787930174564
1980,62.0448473282443,14.4165801526718
1981,40.3409090909091,14.8976767676768
1982,90.4036697247706,16.4214678899083
1983,85.7640369580668,13.3547619047619
1984,78.7891409445891,13.2550762365192
1985,78.5460910151692,14.7613418903151
1986,91.2612612612613,13.0866752252252
1987,82.16018735363,13.2612355971897
1988,88.8289826787021,14.6808470358624
1989,50.1638935108153,15.3390555324459
1990,98.9608026131591,14.3202790480635
1991,48.2783583991843,15.513453224573
1992,66.0867208672087,15.5540673635308
1993,55.766163141994,14.2540374622356
1994,54.7469135802469,17.366175308642
1995,69.5139768915393,15.5793652627656
1996,72.1346566523605,13.6583318133047
1997,98.294364229157,15.0060973451327
1998,75.0059347181009,14.8823751589657
1999,68.8735240690282,15.3084034968211
2000,53.8065268065268,15.3842444222444
2001,42.9671426378013,15.7990155842162
2002,90.1250519318654,16.031929788118
2003,84.8936370481928,16.2150765248494
2004,78.0234028015033,16.4036686026648
2005,77.8846533026618,14.7721307919816
2006,75.328729281768,17.373677518062
2007,68.6089265536723,15.7490075706215
2008,78.7010262601871,16.3970576516752
2009,74.5736269942115,17.2589717351405
2010,94.3836282995306,15.243430306162
2011,81.2971741112124,14.6170765724704
2012,84.7597192723243,14.6728886462277
2013,82.372962962963,15.7692164391534
2014,87.9537597872655,14.794877628404
