Year,1,2,3,4,5,6
1963,1.215,0.777,0.221,0.2,0.2,0.2
1964,1.215,0.777,0.221,0.2,0.2,0.2
1965,1.215,0.777,0.221,0.2,0.2,0.2
1966,1.215,0.777,0.221,0.2,0.2,0.2
1967,1.215,0.777,0.221,0.2,0.2,0.2
1968,1.215,0.777,0.221,0.2,0.2,0.2
1969,1.215,0.777,0.221,0.2,0.2,0.2
1970,1.215,0.777,0.221,0.2,0.2,0.2
1971,1.215,0.777,0.221,0.2,0.2,0.2
1972,1.215,0.777,0.221,0.2,0.2,0.2
1973,1.215,0.777,0.221,0.2,0.2,0.2
1974,1.208,0.767,0.211,0.2,0.2,0.2
1975,1.233,0.746,0.211,0.2,0.2,0.2
1976,1.26,0.729,0.211,0.2,0.2,0.2
1977,1.286,0.715,0.211,0.2,0.2,0.2
1978,1.311,0.705,0.211,0.2,0.2,0.2
1979,1.332,0.701,0.211,0.2,0.2,0.2
1980,1.349,0.702,0.211,0.2,0.2,0.2
1981,1.36,0.706,0.211,0.2,0.2,0.2
1982,1.362,0.71,0.211,0.2,0.2,0.2
1983,1.357,0.715,0.212,0.2,0.2,0.2
1984,1.344,0.717,0.212,0.2,0.2,0.2
1985,1.325,0.718,0.213,0.2,0.2,0.2
1986,1.301,0.718,0.213,0.2,0.2,0.2
1987,1.274,0.718,0.214,0.2,0.2,0.2
1988,1.247,0.718,0.215,0.2,0.2,0.2
1989,1.22,0.72,0.215,0.2,0.2,0.2
1990,1.196,0.722,0.216,0.2,0.2,0.2
1991,1.174,0.723,0.216,0.2,0.2,0.2
1992,1.157,0.725,0.217,0.2,0.2,0.2
1993,1.144,0.727,0.217,0.2,0.2,0.2
1994,1.136,0.73,0.217,0.2,0.2,0.2
1995,1.129,0.734,0.218,0.2,0.2,0.2
1996,1.122,0.74,0.219,0.2,0.2,0.2
1997,1.115,0.748,0.22,0.2,0.2,0.2
1998,1.106,0.756,0.222,0.2,0.2,0.2
1999,1.097,0.767,0.224,0.2,0.2,0.2
2000,1.088,0.779,0.226,0.2,0.2,0.2
2001,1.084,0.795,0.229,0.2,0.2,0.2
2002,1.085,0.814,0.232,0.2,0.2,0.2
2003,1.091,0.835,0.235,0.2,0.2,0.2
2004,1.1,0.854,0.237,0.2,0.2,0.2
2005,1.112,0.871,0.238,0.2,0.2,0.2
2006,1.126,0.884,0.239,0.2,0.2,0.2
2007,1.141,0.893,0.238,0.2,0.2,0.2
2008,1.159,0.9,0.237,0.2,0.2,0.2
2009,1.18,0.907,0.236,0.2,0.2,0.2
2010,1.208,0.916,0.235,0.2,0.2,0.2
2011,1.242,0.929,0.234,0.2,0.2,0.2
2012,1.283,0.945,0.233,0.2,0.2,0.2
2013,1.326,0.962,0.233,0.2,0.2,0.2
2014,1.326,0.962,0.233,0.2,0.2,0.2
2015,1.326,0.962,0.233,0.2,0.2,0.2
