Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1965,1.466,1.508,0.843,0.529,0.466,0.321,0.268,0.243,0.219,0.206,0.2,0.233,0.233,0.233,0.233,0.233
1966,1.466,1.508,0.843,0.529,0.466,0.321,0.268,0.243,0.219,0.206,0.2,0.233,0.233,0.233,0.233,0.233
1967,1.466,1.508,0.843,0.529,0.466,0.321,0.268,0.243,0.219,0.206,0.2,0.233,0.233,0.233,0.233,0.233
1968,1.466,1.508,0.843,0.529,0.466,0.321,0.268,0.243,0.219,0.206,0.2,0.233,0.233,0.233,0.233,0.233
1969,1.466,1.508,0.843,0.529,0.466,0.321,0.268,0.243,0.219,0.206,0.2,0.233,0.233,0.233,0.233,0.233
1970,1.466,1.508,0.843,0.529,0.466,0.321,0.268,0.243,0.219,0.206,0.2,0.233,0.233,0.233,0.233,0.233
1971,1.466,1.508,0.843,0.529,0.466,0.321,0.268,0.243,0.219,0.206,0.2,0.233,0.233,0.233,0.233,0.233
1972,1.466,1.508,0.843,0.529,0.466,0.321,0.268,0.243,0.219,0.206,0.2,0.233,0.233,0.233,0.233,0.233
1973,1.466,1.508,0.843,0.529,0.466,0.321,0.268,0.243,0.219,0.206,0.2,0.233,0.233,0.233,0.233,0.233
1974,1.466,1.508,0.843,0.529,0.466,0.321,0.268,0.243,0.219,0.206,0.2,0.233,0.233,0.233,0.233,0.233
1975,1.511,1.528,0.82,0.511,0.441,0.314,0.264,0.238,0.217,0.206,0.2,0.233,0.233,0.233,0.233,0.233
1976,1.551,1.547,0.798,0.494,0.417,0.306,0.261,0.233,0.215,0.206,0.2,0.233,0.233,0.233,0.233,0.233
1977,1.583,1.565,0.775,0.477,0.393,0.297,0.257,0.23,0.212,0.206,0.2,0.233,0.233,0.233,0.233,0.233
1978,1.605,1.578,0.753,0.462,0.372,0.287,0.252,0.226,0.21,0.206,0.2,0.232,0.232,0.232,0.232,0.232
1979,1.618,1.583,0.731,0.447,0.351,0.277,0.246,0.222,0.208,0.205,0.2,0.231,0.231,0.231,0.231,0.231
1980,1.624,1.579,0.708,0.433,0.333,0.269,0.24,0.219,0.207,0.205,0.2,0.23,0.23,0.23,0.23,0.23
1981,1.622,1.566,0.685,0.42,0.318,0.261,0.235,0.217,0.205,0.205,0.2,0.228,0.228,0.228,0.228,0.228
1982,1.616,1.539,0.662,0.409,0.306,0.256,0.23,0.215,0.204,0.204,0.2,0.226,0.226,0.226,0.226,0.226
1983,1.609,1.5,0.637,0.398,0.297,0.253,0.226,0.214,0.203,0.204,0.2,0.224,0.224,0.224,0.224,0.224
1984,1.603,1.452,0.612,0.387,0.291,0.251,0.224,0.213,0.202,0.204,0.2,0.222,0.222,0.222,0.222,0.222
1985,1.597,1.404,0.589,0.376,0.287,0.249,0.222,0.212,0.202,0.203,0.2,0.219,0.219,0.219,0.219,0.219
1986,1.589,1.358,0.567,0.366,0.284,0.248,0.221,0.211,0.201,0.203,0.2,0.217,0.217,0.217,0.217,0.217
1987,1.577,1.318,0.545,0.357,0.282,0.247,0.22,0.21,0.201,0.202,0.2,0.215,0.215,0.215,0.215,0.215
1988,1.555,1.285,0.525,0.349,0.281,0.246,0.22,0.209,0.201,0.202,0.2,0.213,0.213,0.213,0.213,0.213
1989,1.525,1.257,0.507,0.341,0.281,0.246,0.22,0.209,0.201,0.201,0.2,0.211,0.211,0.211,0.211,0.211
1990,1.487,1.234,0.489,0.333,0.28,0.245,0.22,0.209,0.201,0.201,0.2,0.21,0.21,0.21,0.21,0.21
1991,1.444,1.215,0.472,0.325,0.28,0.244,0.22,0.209,0.201,0.201,0.2,0.208,0.208,0.208,0.208,0.208
1992,1.401,1.203,0.458,0.319,0.279,0.243,0.22,0.209,0.202,0.2,0.2,0.207,0.207,0.207,0.207,0.207
1993,1.364,1.196,0.446,0.313,0.278,0.241,0.22,0.209,0.202,0.2,0.2,0.207,0.207,0.207,0.207,0.207
1994,1.333,1.194,0.437,0.309,0.278,0.24,0.22,0.21,0.203,0.2,0.2,0.206,0.206,0.206,0.206,0.206
1995,1.311,1.197,0.43,0.306,0.277,0.24,0.22,0.21,0.203,0.2,0.2,0.205,0.205,0.205,0.205,0.205
1996,1.298,1.202,0.425,0.305,0.277,0.24,0.221,0.211,0.204,0.2,0.2,0.204,0.204,0.204,0.204,0.204
1997,1.292,1.211,0.422,0.305,0.276,0.241,0.221,0.211,0.205,0.2,0.2,0.204,0.204,0.204,0.204,0.204
1998,1.292,1.222,0.421,0.305,0.275,0.241,0.222,0.211,0.205,0.2,0.2,0.203,0.203,0.203,0.203,0.203
1999,1.299,1.238,0.42,0.306,0.274,0.241,0.223,0.211,0.206,0.201,0.2,0.203,0.203,0.203,0.203,0.203
2000,1.31,1.26,0.421,0.306,0.272,0.24,0.223,0.211,0.206,0.201,0.2,0.203,0.203,0.203,0.203,0.203
2001,1.32,1.289,0.424,0.306,0.271,0.241,0.224,0.211,0.206,0.201,0.2,0.203,0.203,0.203,0.203,0.203
2002,1.322,1.32,0.43,0.306,0.271,0.241,0.225,0.212,0.205,0.201,0.2,0.204,0.204,0.204,0.204,0.204
2003,1.313,1.346,0.437,0.306,0.271,0.243,0.226,0.213,0.205,0.202,0.2,0.205,0.205,0.205,0.205,0.205
2004,1.291,1.362,0.446,0.305,0.271,0.246,0.228,0.214,0.205,0.202,0.2,0.206,0.206,0.206,0.206,0.206
2005,1.259,1.361,0.456,0.303,0.272,0.248,0.229,0.215,0.205,0.202,0.2,0.208,0.208,0.208,0.208,0.208
2006,1.222,1.346,0.466,0.303,0.274,0.252,0.231,0.216,0.205,0.203,0.201,0.209,0.209,0.209,0.209,0.209
