Year,0,1,2,3,4,5,6,7,8
1974,0.9076796,0.6879976,0.4002281,0.3719278,0.343106,0.3262446,0.3224328,0.3037649,0.3037649
1975,0.900075,0.7053876,0.3980433,0.3679878,0.3430515,0.3237665,0.3179179,0.2956242,0.2956242
1976,0.8915222,0.7187712,0.3956023,0.363752,0.3420346,0.320698,0.313188,0.2878022,0.2878022
1977,0.8818698,0.7273984,0.3930341,0.3592993,0.3400528,0.3170229,0.3082766,0.280353,0.280353
1978,0.8713194,0.7327215,0.3901562,0.3544751,0.3371008,0.3127479,0.3030852,0.2731239,0.2731239
1979,0.8593691,0.7341041,0.3869195,0.3492394,0.3331128,0.3078709,0.2976821,0.2662211,0.2662211
1980,0.8461517,0.7315335,0.3833439,0.3436118,0.3280894,0.3023749,0.2920477,0.259627,0.259627
1981,0.8327639,0.7273459,0.3792957,0.3375233,0.3221419,0.2962876,0.286009,0.2530696,0.2530696
1982,0.8187654,0.7153238,0.3747833,0.3312715,0.3148039,0.2893166,0.2799124,0.2474062,0.2474062
1983,0.8043777,0.7010988,0.3699339,0.3246117,0.3065211,0.2817134,0.2734042,0.2417752,0.2417752
1984,0.7889868,0.693723,0.3650458,0.3159265,0.2961347,0.2723778,0.264706,0.2337646,0.2337646
1985,0.772392,0.6872393,0.3600685,0.3059541,0.2839697,0.2616976,0.2546756,0.2246438,0.2246438
1986,0.7573031,0.6792442,0.354525,0.2973456,0.2737314,0.2527487,0.2460435,0.2170837,0.2170837
1987,0.7414107,0.6718757,0.344514,0.2860972,0.2612509,0.2427375,0.2361377,0.2093401,0.2093401
1988,0.7265873,0.663845,0.3345718,0.2759717,0.2501418,0.2338307,0.2271801,0.2025478,0.2025478
1989,0.7172914,0.6515736,0.3277575,0.2721084,0.2465746,0.2300761,0.2227627,0.1996415,0.1996415
1990,0.7110829,0.6377937,0.3209044,0.2703141,0.245793,0.2283638,0.2199929,0.1985368,0.1985368
1991,0.7065958,0.6244281,0.3168527,0.2708915,0.246785,0.2284738,0.2192156,0.1986948,0.1986948
1992,0.7025892,0.603968,0.3177469,0.2776747,0.2535637,0.2333929,0.223303,0.20239,0.20239
1993,0.7000766,0.5840028,0.319725,0.2856419,0.2613654,0.2393742,0.2284693,0.2068624,0.2068624
1994,0.6976706,0.5697455,0.3208557,0.2912902,0.2662117,0.2434319,0.231796,0.20929,0.20929
1995,0.6956149,0.5553106,0.3233006,0.2983756,0.2721848,0.248481,0.2360766,0.2120814,0.2120814
1996,0.6983717,0.5486203,0.3270289,0.304805,0.2771983,0.2530521,0.240237,0.2149922,0.2149922
1997,0.7094121,0.553368,0.3299493,0.3089526,0.2785695,0.2552715,0.2428323,0.215775,0.215775
1998,0.7234486,0.5629294,0.3345761,0.3135255,0.2803052,0.2581317,0.2462119,0.217589,0.217589
1999,0.7431392,0.5828287,0.3460554,0.3202844,0.284523,0.2634449,0.2521491,0.2235415,0.2235415
2000,0.7687325,0.6120658,0.3609426,0.3274834,0.2886973,0.2692526,0.2588869,0.2308219,0.2308219
2001,0.7879394,0.6332999,0.37323,0.3342691,0.2938106,0.2757281,0.2657467,0.2384173,0.2384173
2002,0.801732,0.6533508,0.3886273,0.3449506,0.3044885,0.2866804,0.2762943,0.2502256,0.2502256
2003,0.8129805,0.6696337,0.4021713,0.3544945,0.3148123,0.297233,0.2863114,0.2616882,0.2616882
2004,0.816274,0.6671653,0.4056177,0.3577122,0.3203738,0.3038143,0.2920184,0.2689091,0.2689091
2005,0.8158639,0.6576203,0.4061169,0.3593065,0.3254766,0.3100614,0.2970697,0.2757679,0.2757679
2006,0.8168008,0.6495382,0.4047458,0.359248,0.3283538,0.3139323,0.3002624,0.280231,0.280231
2007,0.8192047,0.6424365,0.4012439,0.3574352,0.3289307,0.3154262,0.3015723,0.2823417,0.2823417
2008,0.8204193,0.6334179,0.3954705,0.3540455,0.3279876,0.3153612,0.3015044,0.2828278,0.2828278
2009,0.8204422,0.6237293,0.3877396,0.3491904,0.3253955,0.3135234,0.2999452,0.2814051,0.2814051
2010,0.8191635,0.6120449,0.3776919,0.3427256,0.3212505,0.3100955,0.2969777,0.2783231,0.2783231
2011,0.8173077,0.5994214,0.3655729,0.334657,0.3154057,0.3048594,0.2924872,0.2733752,0.2733752
2012,0.8156684,0.5871932,0.3518383,0.3251469,0.3078469,0.297715,0.2864755,0.2664683,0.2664683
2013,0.8137161,0.5745417,0.3363089,0.3142024,0.2987052,0.2888504,0.2790475,0.2577845,0.2577845
2014,0.8172596,0.5993861,0.3638303,0.3331844,0.3137208,0.3030087,0.2909866,0.2714712,0.2714712
2015,0.8164639,0.5933003,0.357853,0.329183,0.3108021,0.3003801,0.288747,0.2689877,0.2689877
