Year,0,1,2,3
1984,0.4,0.4,0.4,0.4
1985,0.4,0.4,0.4,0.4
1986,0.4,0.4,0.4,0.4
1987,0.4,0.4,0.4,0.4
1988,0.4,0.4,0.4,0.4
1989,0.4,0.4,0.4,0.4
1990,0.4,0.4,0.4,0.4
1991,0.4,0.4,0.4,0.4
1992,0.4,0.4,0.4,0.4
1993,0.4,0.4,0.4,0.4
1994,0.4,0.4,0.4,0.4
1995,0.4,0.4,0.4,0.4
1996,0.4,0.4,0.4,0.4
1997,0.4,0.4,0.4,0.4
1998,0.4,0.4,0.4,0.4
1999,0.4,0.4,0.4,0.4
2000,0.4,0.4,0.4,0.4
2001,0.4,0.4,0.4,0.4
2002,0.4,0.4,0.4,0.4
2003,0.4,0.4,0.4,0.4
2004,0.4,0.4,0.4,0.4
2005,0.4,0.4,0.4,0.4
2006,0.4,0.4,0.4,0.4
2007,0.4,0.4,0.4,0.4
2008,0.4,0.4,0.4,0.4
2009,0.4,0.4,0.4,0.4
2010,0.4,0.4,0.4,0.4
2011,0.4,0.4,0.4,0.4
2012,0.29,0.29,0.39,0.44
2013,0.29,0.29,0.39,0.44
2014,0.29,0.29,0.39,0.44
