Year,0,1,2,3
1974,0.463,0.28,0.206,0.15
1975,0.509,0.312,0.255,0.197
1976,0.387,0.28,0.252,0.221
1977,0.359,0.297,0.276,0.247
1978,0.31,0.25,0.232,0.211
1979,0.377,0.266,0.241,0.21
1980,0.6,0.423,0.356,0.279
1981,0.583,0.369,0.323,0.217
1982,0.648,0.391,0.34,0.232
1983,0.658,0.334,0.269,0.18
1984,0.541,0.399,0.308,0.229
1985,0.547,0.411,0.293,0.204
1986,0.524,0.397,0.315,0.212
1987,0.65,0.482,0.427,0.265
1988,0.572,0.412,0.334,0.221
1989,0.592,0.436,0.36,0.27
1990,0.523,0.387,0.323,0.223
1991,0.494,0.383,0.297,0.205
1992,0.45,0.327,0.257,0.188
1993,0.383,0.295,0.238,0.181
1994,0.338,0.254,0.21,0.169
1995,0.433,0.322,0.257,0.199
1996,0.314,0.245,0.202,0.156
1997,0.382,0.274,0.214,0.169
1998,0.377,0.274,0.217,0.175
1999,0.365,0.239,0.195,0.15
2000,0.395,0.276,0.228,0.18
2001,0.378,0.276,0.23,0.185
2002,0.407,0.311,0.26,0.216
2003,0.4,0.296,0.249,0.21
2004,0.373,0.246,0.202,0.174
2005,0.357,0.248,0.191,0.156
2006,0.363,0.279,0.187,0.162
2007,0.358,0.264,0.184,0.154
2008,0.37,0.215,0.165,0.145
2009,0.369,0.197,0.148,0.127
2010,0.441,0.25,0.169,0.144
2011,0.535,0.356,0.229,0.187
2012,0.486,0.344,0.181,0.18
2013,0.38,0.29,0.157,0.155
2014,0.467,0.33,0.189,0.174
2015,0.467,0.33,0.189,0.174
