YEAR,season,fleet,gender,partition,nSamps,F12,F14,F16,F18,F20,F22,F24,F26,F28,F30,F32,F34,F36,F38,F40,F42,F44,F46,F48,F50,F52,F54,F56,F58,F60,F62,M12,M14,M16,M18,M20,M22,M24,M26,M28,M30,M32,M34,M36,M38,M40,M42,M44,M46,M48,M50,M52,M54,M56,M58,M60,M62,nSamps
1966,2,2,3,2,140,0,0,0,0,0,0,0,0,0.02273712,1.260276045,3.051699557,5.386168954,6.962240624,6.91955468,6.9089734,6.924012278,5.843679323,3.238656885,0.886236893,0.668700956,0.160275719,0.1087053,0.024439502,0.026613494,0.004368787,0,0,0,0,0,0,0,0,0,0.018992189,1.773483859,6.56756668,9.399733228,12.38516126,11.96230526,5.862380052,2.320543818,0.872836777,0.347537494,0.079013508,0.013106361,0,0,0,0,0,0,28
1967,2,2,3,2,150,0,0,0,0,0,0,0,0,0.039060182,0.434849586,0.976512643,6.946292335,8.493590824,8.482402753,9.015043671,8.141705657,7.075030165,2.903868454,1.004519554,0.670878584,0.388630812,0,0.089220001,0.062886235,0,0,0,0,0,0,0,0,0,0,0.032565374,0.690870609,3.142275662,4.960159935,7.480713148,9.92708051,11.59883603,4.897350448,1.891630833,0.515508153,0.138517847,0,0,0,0,0,0,0,31
1968,2,2,3,2,150,0,0,0,0,0,0,0,0,0.023966388,0.37370297,0.69954837,2.208112507,2.898547878,4.895348087,6.651939849,8.007384166,7.18698363,1.666481565,1.702999717,0.679352885,0.390437149,0.168274706,0.092376016,0.016563016,0.004245182,0,0,0,0,0,0,0,0,0.018554319,0.042618998,0.246699365,3.155731964,7.781662485,14.15120644,17.91778742,11.29628683,5.577779218,1.704312777,0.291647655,0.149448445,0,0,0,0,0,0,0,38
1969,2,2,3,2,150,0,0,0,0,0,0,0,0,0.067155371,0.991158449,1.889598779,3.644275579,4.455144756,4.298912575,5.123055503,7.035704204,7.386801676,5.336501942,1.719044941,0.647151034,0.272845876,0.135201268,0.00171814,0.000286357,0.009368046,0.000286357,0,0,0,0,0,0,0.017097858,0,0.049465687,0.585031446,1.416864788,2.781909226,9.679966367,12.94777698,16.19752154,8.119914104,3.793588715,1.031658915,0.196344682,0.168362481,0,0,0.000286357,0,0,0,37
1970,2,2,3,2,150,0,0,0,0,0,0,0,0,0.06646708,1.00261671,2.191983863,2.970572529,5.428904592,7.833573917,7.162714542,8.190998483,7.145314957,3.063272104,1.614731806,0.775069684,0.380148247,0.18083158,0.045275255,0.040670708,0.004195009,0,0,0,0,0,0,0,0,0.015558756,0.11224874,1.967330439,6.484894053,7.466978572,10.13401746,12.69140091,8.008268798,3.677680655,0.995498888,0.225658912,0.085630356,0.037492398,0,0,0,0,0,0,40
1971,2,2,3,2,50,0,0,0,0,0,0,0,0,0.008684359,0.094660588,0.968765238,2.825528966,4.302969743,2.698010372,5.745807237,8.00337709,7.622090355,4.233746027,3.117957048,0.858606774,0.684365735,0.277485046,0.151419171,0.098918348,0.017832964,0.024086372,0,0,0,0,0,0,0,0,0.00973469,0.179365551,3.300829827,9.397737598,13.06130715,8.276767058,12.91544975,6.223460849,3.680769582,0.649992861,0.57027365,0,0,0,0,0,0,0,10
1972,2,2,3,2,120,0,0,0,0,0,0,0,0.005938297,0.040319235,1.048254345,2.279588693,4.587632753,4.629371557,6.981102898,6.470565876,7.246209177,3.229623222,2.664872656,1.153163463,0.36622546,0.147861892,0.158013671,0.065952218,0.043307278,0.002138016,0.013688881,0,0,0,0,0,0.005938297,0,0,0.155219916,1.558197469,5.195719305,10.84683648,16.13970679,14.533987,6.8553893,2.274267431,0.804718994,0.412313457,0.039727781,0.025596934,0,0.018551256,0,0,0,0,24
1973,2,2,3,2,70,0,0,0,0,0,0,0,0,0.079822945,1.053254793,3.859312512,5.92379308,6.823692039,6.607892095,7.037862347,6.758457793,3.963265639,0.928513164,0.475741379,0.263734256,0.259491198,0.112950318,0.018233569,0.00149906,0,0.015702908,0,0,0,0,0,0,0,0,0.019732629,1.041741118,3.372681729,7.950065278,14.6949978,15.12421278,8.101066867,3.925544663,1.441823225,0.097588982,0.047325836,0,0,0,0,0,0,0,14
1974,2,2,3,2,150,0,0,0,0,0,0,0,0,0.001840986,0.229588835,1.186269309,1.99524446,2.38522673,3.9261905,6.325345059,8.065925193,6.500235518,4.453350856,1.463481343,0.297197496,0.431745015,0.150439668,0.044853376,0.032572573,0.004223025,0.001012711,0,0,0,0,0,0,0,0,0.044048711,0.864519699,4.0201848,5.874912411,12.73259342,17.7832686,12.72073235,5.647494251,1.995396659,0.633815622,0.126914326,0.027832661,0.025460242,0.008083596,0,0,0,0,35
1975,2,2,3,2,100,0,0,0,0,0,0,0,0,0,0.343835344,0.80727587,2.618461764,3.970014796,5.08990679,5.903859433,7.922238338,7.45151603,5.885839455,2.205421741,1.227750663,0.475410259,0.099195239,0.119938688,0.03734999,0.021526248,0.008348239,0,0,0,0,0,0,0,0,0.085874498,0.574261278,1.896496074,6.395518408,9.933017677,13.72728776,11.64289014,7.554898664,2.394972038,1.070758736,0.361218249,0.125450203,0.032770916,0.016696478,0,0,0,0,20
