YEAR,SEX,LENGTH_cm,FREQUENCY
1978,M,41,1
1978,M,46,1
1978,M,47,1
1978,F,38,1
1978,F,41,1
1978,F,43,2
1978,F,44,1
1978,F,45,1
1978,F,47,1
1978,M,42,2
1978,M,45,1
1978,F,37,2
1978,F,42,1
1978,F,43,1
1978,F,44,1
1978,F,45,5
1978,F,46,2
1978,F,48,1
1978,F,54,2
1978,F,55,1
1978,F,57,2
1978,M,42,1
1978,M,43,3
1978,M,44,2
1978,M,50,1
1978,F,38,1
1978,F,45,1
1978,F,47,4
1978,F,48,1
1978,F,49,4
1978,F,50,2
1978,F,51,1
1978,F,52,5
1978,F,53,7
1978,F,54,8
1978,F,55,7
1978,F,56,15
1978,F,57,13
1978,F,58,12
1978,F,59,5
1978,F,60,5
1978,F,61,3
1978,F,62,3
1978,F,63,2
1978,F,64,1
1978,F,67,1
1978,M,44,1
1978,M,46,2
1978,M,47,1
1978,M,48,2
1978,M,49,3
1978,M,51,1
1978,M,52,1
1978,M,53,2
1978,M,54,2
1978,M,55,1
1978,M,56,1
1978,M,57,1
1978,M,59,1
1978,F,46,1
1978,F,50,1
1978,F,56,1
1978,F,48,2
1978,F,51,1
1978,F,52,1
1978,F,53,1
1978,F,54,1
1978,F,59,1
1978,F,44,1
1978,F,46,2
1978,F,48,1
1978,F,49,1
1978,F,50,3
1978,F,51,11
1978,F,52,13
1978,F,53,11
1978,F,54,8
1978,F,55,10
1978,F,56,12
1978,F,57,7
1978,F,58,3
1978,F,59,1
1978,F,63,1
1978,M,46,1
1978,M,48,1
1978,M,49,2
1978,M,52,2
1978,F,47,1
1978,F,49,1
1978,F,50,1
1978,F,51,2
1978,F,52,2
1978,F,53,4
1978,F,54,6
1978,F,55,3
1978,F,56,2
1978,F,57,2
1978,F,59,3
1978,F,63,1
1978,M,51,1
1978,M,53,1
1978,M,57,1
1978,F,50,1
1978,F,51,1
1978,F,52,1
1978,F,54,3
1978,F,55,2
1978,F,57,1
1978,M,58,1
1978,F,48,6
1978,F,49,4
1978,F,50,9
1978,F,51,15
1978,F,52,17
1978,F,53,16
1978,F,54,19
1978,F,55,18
1978,F,56,9
1978,F,57,13
1978,F,58,7
1978,F,59,1
1978,F,60,1
1978,F,61,3
1978,F,62,1
1978,F,104,2
1978,M,44,1
1978,M,46,2
1978,M,47,1
1978,M,48,4
1978,M,49,5
1978,M,53,1
1978,M,54,3
1978,M,55,2
1978,M,50,2
1978,M,51,3
1978,M,52,6
1978,M,53,5
1978,M,54,1
1978,M,55,2
1978,M,57,1
1978,M,62,1
1978,M,52,1
1978,M,53,2
1978,M,56,1
1978,M,58,1
1978,M,59,1
1978,F,42,1
1978,F,44,2
1978,F,45,2
1978,F,46,1
1978,F,47,12
1978,F,48,5
1978,F,49,12
1978,F,50,11
1978,F,51,12
1978,F,52,8
1978,F,53,10
1978,F,54,5
1978,F,55,3
