YEAR,seas,type,gender,partition,Nsamp,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45
1965,1,2,2,2,6,0,0,0,0,0,0,0,0,0.01096286,0.052599683,0.120714778,0.20188699,0.173525272,0.127299572,0.079457154,0.036901066,0.012428452,0.002971889
1966,1,2,2,2,33,0,0,0,0,0,0,0.000603268,0,0.000292572,0.007397917,0.079019613,0.2010677,0.227325569,0.201018777,0.112987421,0.055088063,0.013051811,0.008825737
1967,1,2,2,2,48,0,0,0,0,0,0,0,0,0.000563327,0.012743417,0.065113952,0.150003274,0.215994388,0.206578387,0.135757875,0.062575078,0.019884379,0.007662803
1968,1,2,2,2,51,0,0,0,0,0,0.000188439,0,0.001507514,0.006419619,0.024580848,0.067634446,0.132013467,0.203453917,0.217777285,0.162628169,0.089508492,0.027491926,0.013407281
1969,1,2,2,2,53,0,0,0,0,0,0,0,0,0.005716005,0.039891236,0.110378667,0.164578533,0.201065974,0.178870859,0.111738219,0.056139418,0.02222964,0.005942052
1970,1,2,2,2,53,0,0,0,0,0,0,0,0,0.007326205,0.044053619,0.108077703,0.17930859,0.197780271,0.137984666,0.082419026,0.04225981,0.016343102,0.006544866
1971,1,2,2,2,4,0,0,0,0,0,0,0,0,0,0.044522047,0.04428985,0.18802982,0.206149033,0.11411457,0.085022842,0.035304949,0.015325082,0.003639708
1972,1,2,2,2,25,0,0,0,0,0,0,0.000229881,5.33E-05,0.005408195,0.045316529,0.137696008,0.198300851,0.20293489,0.115191656,0.075518217,0.040601224,0.019894926,0.008783872
1973,1,2,2,2,24,0,0,0,0,0,0,0.000573556,0,0.002873478,0.026838477,0.152695022,0.241182094,0.224812174,0.141116222,0.076285533,0.027717494,0.008833354,0.004906492
1974,1,2,2,2,21,0,0,0,0,0,0,0,0.000616385,0.002906278,0.038463704,0.14141633,0.227042739,0.206887425,0.127406575,0.076641955,0.028632782,0.012493276,0.008842979
1975,1,2,2,2,27,0,0,0.000459817,0,0,0.000428442,0.000163417,0.001150743,0.007864986,0.042661653,0.153716442,0.216346284,0.196922329,0.130168055,0.076381102,0.036084327,0.011460089,0.006442221
1976,1,2,2,2,18,0,0,0,0,0,0,0.001541257,0.013672222,0.031989236,0.06598602,0.109566217,0.145226186,0.14120358,0.124675047,0.089629434,0.038919826,0.011990446,0.006113054
1977,1,2,2,2,29,0,0,0,0,0,0,0.00037349,0.00112047,0.003949028,0.034866343,0.106760439,0.193148168,0.190529961,0.127126645,0.08269352,0.039351651,0.015892706,0.004128376
1978,1,2,2,2,26,0,0,0,0,0,0,0,0,0.004749049,0.071634056,0.148106568,0.263338503,0.189751257,0.133035992,0.086802197,0.03615061,0.005295061,0.004647629
1979,1,2,2,2,21,0,0,0,0,0,0,0.000635899,0,0.003946223,0.0505798,0.212494456,0.202020985,0.208096049,0.125082736,0.064697405,0.023477827,0.004514373,0.001635618
1980,1,2,2,2,96,0,0,0,0,0,0.000399012,5.41E-05,0.000123977,0.004237815,0.052566727,0.165317449,0.225800778,0.192667478,0.13121961,0.068691179,0.040273634,0.02081415,0.010614277
1981,1,2,2,2,90,0,0,0,0,0,0,0,8.46E-06,0.014737121,0.106361691,0.224036459,0.215543929,0.180591119,0.106952784,0.058123393,0.026515868,0.009252078,0.005555769
1982,1,2,2,2,72,0,0,0,0,0,0,1.42E-05,0.003943077,0.040716148,0.13590158,0.239963969,0.205528435,0.132684484,0.084877094,0.04134826,0.019395639,0.011425815,0.003783099
1983,1,2,2,2,52,0,0,0,0,0,0.00065268,0.000521936,0.00061898,0.010713674,0.129744497,0.23125774,0.231362521,0.152552744,0.081992041,0.044712999,0.022400882,0.008789814,0.002677807
1984,1,2,2,2,27,0,0,0,0,0,0,0.002828755,0.014569754,0.068396944,0.098350482,0.246577998,0.183571609,0.148171579,0.077385946,0.036317327,0.021229615,0.002950647,0.001680985
1985,1,2,2,2,38,0,0,0,0,0,0,0,0.008367562,0.044721389,0.175618209,0.253191957,0.19425432,0.14517473,0.065397034,0.028703555,0.010952338,0.004572689,0.002734915
1986,1,2,2,2,29,0,0,0,0,0,0,0.000209251,0.002906965,0.028569553,0.162966211,0.279059404,0.199005701,0.096986418,0.071116386,0.052452668,0.026040021,0.008999864,0.003770017
1987,1,2,2,2,55,0,0,0,0,0,0,0.001834559,0.005411018,0.058825987,0.169711542,0.2521228,0.244033658,0.11876438,0.054724301,0.030650917,0.013437313,0.00296528,0.00079941
1988,1,2,2,2,35,0,0,0,0,0,0,7.49E-05,0,0.017022261,0.119866615,0.235457633,0.229546871,0.156687727,0.101502154,0.046798662,0.018494256,0.006785628,0.002427448
1989,1,2,2,2,43,0,0,0,0,0,0,9.96E-05,0.000408028,0.009832825,0.097702668,0.221839299,0.258189825,0.187155164,0.116313377,0.043459105,0.019127751,0.007347933,0.002846672
1990,1,2,2,2,30,0,0,0,0,0,0,0,0.004547253,0.010476676,0.063210655,0.261361837,0.312337082,0.185810548,0.071551452,0.025143441,0.006628959,0.002026375,1.39E-05
1991,1,2,2,2,28,0,0,0,0,0,0,0.000940693,0.000977635,0.007163611,0.067564764,0.202563702,0.234260836,0.150080135,0.073123172,0.035731803,0.018184946,0.004082394,0.002066846
1992,1,2,2,2,21,0,0,0,0,0,0,0,0.002407874,0.036314467,0.185065284,0.285542816,0.214115455,0.133610007,0.060167742,0.021464356,0.007088049,0.000794205,0.000712378
1993,1,2,2,2,22,0,0,0,0,0,0,0,0.000601167,0.007218626,0.139624218,0.335863946,0.278140984,0.137964901,0.04875387,0.014195039,0.005178021,0.001783377,0
1994,1,2,2,2,21,0,0,0,0,0,0,0,0.002137115,0.029157857,0.186018195,0.313799571,0.213849617,0.108125966,0.06257897,0.018626261,0.00791339,0.002680106,0.001617793
1995,1,2,2,2,20,0,0,0,0,0,0,0,0.001502724,0.061299375,0.186478758,0.246878921,0.189067255,0.11731893,0.078855238,0.044269296,0.042373049,0.014136644,0.004543246
1996,1,2,2,2,18,0,0,0,0,0,0,0,0.00044543,0.047038636,0.268216279,0.278697522,0.188946289,0.100013697,0.035573687,0.023786277,0.00906365,0.005467049,0.000898376
1997,1,2,2,2,40,0,0,0,0,0,0,0.000192329,0.001731081,0.022333182,0.159394573,0.330567451,0.220952672,0.12381618,0.063847688,0.02050488,0.0159703,0.001554958,0.00668534
1998,1,2,2,2,37,0,0,0,0,0,0,0,0.007391966,0.070227592,0.192390275,0.293016341,0.196006876,0.096590977,0.048213386,0.040886787,0.023285777,0.009675704,0.002922598
1999,1,2,2,2,35,0,0,0,0,0,0,0.000682277,0.005391107,0.067698266,0.198826638,0.279481468,0.220994686,0.106725397,0.046259193,0.027052238,0.014366442,0.005285951,0.001634723
2000,1,2,2,2,33,0,0,0,0,0,0,0.000504918,0.006184874,0.058114405,0.18314248,0.283925386,0.186373196,0.116372685,0.057539218,0.046368923,0.039970078,0.006235402,0.002454506
2001,1,2,2,2,49,0,0,0,0,0,0,0.001738129,0.00795245,0.041666957,0.140580238,0.262206851,0.2653922,0.135927244,0.068574764,0.036220938,0.013585091,0.007986748,0.002955995
2002,1,2,2,2,46,0,0,0,0,0,0,0.001687341,0.008272415,0.029620483,0.133311235,0.255602268,0.2745696,0.149090082,0.068077281,0.029052928,0.011689766,0.007364727,0.003214296
2003,1,2,2,2,48,0,0,0,0,0,0.000152865,0.000186271,0.000362202,0.012145359,0.083135773,0.238185604,0.234950223,0.221713064,0.091092575,0.056568337,0.023661207,0.002804266,0.000452148
2004,1,2,2,2,52,0,0,0,0,0,0,0.000860949,0.001568636,0.011537914,0.06263769,0.199065525,0.247624105,0.221957264,0.119409183,0.051575568,0.022212403,0.011927575,0.005104303
2005,1,2,2,2,61,0,0,0,0,0,0,0,0.002719397,0.011264153,0.066498358,0.190142131,0.267624898,0.21576137,0.119964412,0.062958286,0.02473284,0.01369818,0.006345727
2006,1,2,2,2,44,0,0,0,0,0,0,0,0.004443007,0.021729796,0.084583314,0.219549629,0.302599028,0.185669087,0.080946714,0.032875594,0.011084047,0.002882127,0.001658653
1965,1,2,1,2,6,0,0,0,0,0,0,0,0,0.006976566,0.065698673,0.057141229,0.040970685,0.005560106,0.004905025,0,0,0,0
1966,1,2,1,2,33,0,0,0,0,0,0,0,0,0.000399933,0.009054416,0.036472113,0.030289025,0.01326638,0.002244061,0.001069675,0.000525948,0,0
1967,1,2,1,2,48,0,0,0,0,0,0,0,0,0.00405838,0.015752734,0.055948555,0.03539901,0.00996358,0.00200086,0,0,0,0
1968,1,2,1,2,51,0,0,0,0,0,0,0,0.000565318,0.002993621,0.007356092,0.019524975,0.017537438,0.004809248,0.000601905,0,0,0,0
1969,1,2,1,2,53,0,0,0,0,0,0,0,0,0.004240244,0.019942457,0.04344073,0.026536287,0.007436872,0.001251486,0.000601322,0,0,0
1970,1,2,1,2,53,0,0,0,0,0,0,0.000198431,0.002851929,0.010658611,0.035443341,0.070115142,0.041318588,0.014967681,0.001641691,0.000706728,0,0,0
1971,1,2,1,2,4,0,0,0,0,0,0,0,0,0.019080877,0.108124971,0.097892775,0.033792177,0.003467105,0.001244194,0,0,0,0
1972,1,2,1,2,25,0,0,0,0,0,0,0,0.000919523,0.008708065,0.045881082,0.052094608,0.032160156,0.009233723,0.000317572,0,0,0,0.000755715
1973,1,2,1,2,24,0,0,0,0,0,0,0,0,0.003236731,0.020288348,0.035339133,0.022119665,0.008256934,0.002925295,0,0,0,0
1974,1,2,1,2,21,0,0,0,0,0,0,0.000850979,0.006632058,0.010463454,0.025821047,0.04796345,0.027519149,0.008897128,0.000502307,0,0,0,0
1975,1,2,1,2,27,0,0,0.000459817,0.000878876,0,0,0,0.003218841,0.012643583,0.022784091,0.051530633,0.02137652,0.006190016,0.000667716,0,0,0,0
1976,1,2,1,2,18,0,0,0,0,0,0.00018703,0.000385314,0.00464104,0.028657899,0.073686519,0.08121944,0.026607551,0.002913537,0.000445098,0.000744043,0,0,0
1977,1,2,1,2,29,0,0,0,0,0,0.000186745,0.000415237,0.001702693,0.022835857,0.058546326,0.08100652,0.031339218,0.003171079,0.000723465,0.000132063,0,0,0
1978,1,2,1,2,26,0,0,0,0,0,0,0.000128496,0.000270406,0.013920917,0.013643153,0.018547683,0.007390638,0.001543518,0.001044267,0,0,0,0
1979,1,2,1,2,21,0,0,0,0,0,0,0.000153195,0.000919167,0.004757827,0.034864345,0.039288664,0.021612434,0.001222998,0,0,0,0,0
1980,1,2,1,2,96,0,0,0,0.000145275,0,0,1.33E-05,0.00060195,0.005412043,0.030834598,0.030233561,0.015727406,0.003681839,0.000253719,0.000202724,4.65E-05,5.31E-05,1.38E-05
