"","V1","V2","V3","V4"
"adjR2Bout",0.193189018982608,0,0,0.190091769052177
"adjR2B",0.176305409005314,0,0,0.172825678400483
"adjR2B",0,0.00958157213487021,0,0
"adjR2B",0.0384370301352868,0.000830933311435578,0.0943885027916125,0.133656466238335
"adjR2B",0,0.00174774770979791,0.011292824444046,0
"adjR2B",0.186395445295391,0.00801445059776762,0.0150407549415521,0.20945065083471
"adjR2B",0.27575529396928,0.110373383578664,0,0.372714559429207
"adjR2B",0.0934228596579795,0,0.00529141615431516,0.0929458500931594
"adjR2B",0.0102549257746941,0.0116202292252114,0,0.00348747331741783
"adjR2B",0.122183483503287,0,0.0148736854745137,0.109599077035534
"adjR2B",0.332544185358346,0.0251978488352662,0,0.342257063195361
"adjR2B",0,0,0.367850077504665,0.265923103835828
"adjR2B",0,0.0420775971624738,0,0
"adjR2B",0,0.00295895411040226,0,0
"adjR2B",0.0996234309932679,0,0,0.0239697273434559
"adjR2B",0.0418498899808819,0,0.0433374859128712,0.0833574590648334
"adjR2B",0.00343496674156851,0.0218181884085663,0,0
"adjR2B",0.311981848735619,0,0.0593890164022833,0.226357903533604
"adjR2B",0.0976015802197369,0.0317506222100347,0.0101909787691209,0.139543181198892
"adjR2B",0.0882996720603256,0,0,0.0716707978510335
"adjR2B",0.00992106978803897,0,0.0048236143448005,0.00857390324734086
"adjR2B",0,0.0105123473180608,0,0
"adjR2B",0,0,0.00102383441834419,0
"adjR2B",0.291907943674377,0.111657045567445,0.0366244797411287,0.440189468982951
"adjR2B",0.0267245524887902,0.0423057326615286,0.0369496830763631,0.105979968226682
"adjR2B",0,0.00112805829791895,0.0612365795651912,0.0555861058506038
"adjR2B",0.0246774225488131,0,0.102367037977586,0.10804111858621
"adjR2B",0.339809326758884,0.00501879494614699,0,0.329647804578539
