"","V1","V2"
"sigout",0.005,0.456
"sig",0.001,0.354
"sig",0.448,0.539
"sig",0.099,0.032
"sig",0.631,0.201
"sig",0.001,0.164
"sig",0.004,0.54
"sig",0.001,0.18
"sig",0.242,0.638
"sig",0.039,0.236
"sig",0.001,0.622
"sig",0.574,0.069
"sig",0.661,0.945
"sig",0.998,0.821
"sig",0.051,0.944
"sig",0.066,0.055
"sig",0.336,0.654
"sig",0.058,0.218
"sig",0.002,0.209
"sig",0.006,0.792
"sig",0.225,0.293
"sig",0.562,0.844
"sig",0.59,0.347
"sig",0.001,0.031
"sig",0.12,0.081
"sig",0.515,0.019
"sig",0.102,0.007
"sig",0.001,0.742
