"","V1","V2"
"sigout",0.002,0.681
"sig",0.001,0.558
"sig",0.327,0.651
"sig",0.117,0.066
"sig",0.743,0.153
"sig",0.001,0.108
"sig",0.002,0.39
"sig",0.001,0.181
"sig",0.125,0.114
"sig",0.061,0.79
"sig",0.001,0.084
"sig",0.542,0.082
"sig",0.487,0.637
"sig",0.989,0.134
"sig",0.026,0.533
"sig",0.018,0.077
"sig",0.515,0.976
"sig",0.098,0.227
"sig",0.012,0.002
"sig",0.011,0.851
"sig",0.314,0.341
"sig",0.621,0.673
"sig",0.671,0.559
"sig",0.001,0.645
"sig",0.122,0.206
"sig",0.419,0.056
"sig",0.095,0.074
"sig",0.001,0.362
